id,responded_at,week_number,experience_rating,reason
16810,2018-06-11 18:28:04 UTC,1,3,""
17388,2018-06-12 16:38:12 UTC,2,3,It was good i have learnt new measure in protecting my money and personal data's.  Thanks 
17505,2018-06-12 20:24:38 UTC,2,3,Nice Content !!
17807,2018-06-13 12:05:35 UTC,1,3,""
17819,2018-06-13 12:25:05 UTC,1,3,""
18277,2018-06-14 10:31:48 UTC,1,3,""
18291,2018-06-14 10:52:28 UTC,1,3,""
18439,2018-06-14 15:28:35 UTC,2,3,It has helped to reaffirm that I am aware of the problems/scams and has made me look at things in a different way.
18706,2018-06-15 07:37:25 UTC,1,3,""
18717,2018-06-15 08:11:00 UTC,1,3,"It has been interesting and I have learnt a lot, thank you."
18855,2018-06-15 13:54:50 UTC,1,3,I've learned interesting advices.
19426,2018-06-16 22:07:28 UTC,1,2,I have no adverse criticisms of the course but I rushed through it 
19753,2018-06-17 16:38:34 UTC,1,3,It's very easy to follow the course and very enterteiment.
20029,2018-06-18 07:11:42 UTC,3,3,""
20125,2018-06-18 10:16:33 UTC,2,3,""
20174,2018-06-18 11:23:03 UTC,3,3,It challenged me to think about cyber security differently
20357,2018-06-18 16:13:06 UTC,1,2,""
20548,2018-06-18 21:47:38 UTC,1,3,""
21518,2018-06-20 15:05:41 UTC,1,3,useful information in the last video.
21989,2018-06-21 12:39:56 UTC,1,3,Thought provoking conversations and enjoyable learning at the same time.
22288,2018-06-22 00:03:57 UTC,2,3,""
22365,2018-06-22 06:20:57 UTC,3,3,""
22675,2018-06-22 17:29:15 UTC,2,3,Fantastic 
23644,2018-06-24 19:34:46 UTC,1,3,I wasn't interested in this course - until I tried it.  The material was well presented and staff answered queries without being patronising.  Well done!
23797,2018-06-25 02:43:25 UTC,3,3,""
23825,2018-06-25 04:18:30 UTC,3,3,""
24003,2018-06-25 12:01:11 UTC,1,3,""
24047,2018-06-25 13:16:05 UTC,1,3,""
24238,2018-06-25 18:27:14 UTC,2,3,""
24347,2018-06-25 21:50:01 UTC,3,3,""
24350,2018-06-25 21:56:03 UTC,3,2,""
24396,2018-06-25 23:32:56 UTC,3,3,"It has been like learning a new language.
Nice reading comments.
Thank you all for the course"
24399,2018-06-25 23:37:02 UTC,3,3,""
24777,2018-06-26 15:00:50 UTC,3,3,""
24804,2018-06-26 15:51:58 UTC,3,3,""
25215,2018-06-27 10:30:28 UTC,1,3,""
25379,2018-06-27 15:35:27 UTC,1,3,""
25632,2018-06-28 07:58:54 UTC,3,3,Very interesting and informative.
25641,2018-06-28 08:37:17 UTC,3,3,Interesting accessible course
25744,2018-06-28 11:42:05 UTC,2,3,""
25789,2018-06-28 13:46:53 UTC,3,3,The content of the course was more comprehensive than I was expecting eg. access control included. The depth of each topic covered was greater than I was expecting.A very thought provoking  as well as alarming subject content.
25849,2018-06-28 15:49:04 UTC,3,3,""
25928,2018-06-28 18:39:12 UTC,3,3,""
26317,2018-06-29 14:23:39 UTC,2,3,""
26988,2018-07-01 06:08:51 UTC,2,3,""
27878,2018-07-02 15:53:58 UTC,2,3,"Practical tips, research ideas, relevant to current issues eg digital voting and cyber security, bitcoin"
28764,2018-07-04 05:24:36 UTC,2,3,""
29065,2018-07-04 16:33:14 UTC,3,3,""
29067,2018-07-04 16:36:31 UTC,2,3,""
29679,2018-07-05 20:28:09 UTC,3,3,wonderful
29745,2018-07-05 22:33:52 UTC,1,3,دورة جميله
30177,2018-07-06 16:44:54 UTC,2,3,""
30187,2018-07-06 17:08:30 UTC,3,3,""
30492,2018-07-07 12:21:39 UTC,3,3,""
30539,2018-07-07 14:41:26 UTC,3,3,""
30540,2018-07-07 14:44:09 UTC,3,3,""
30816,2018-07-08 07:19:37 UTC,3,3,""
31404,2018-07-09 06:40:57 UTC,3,3,""
31692,2018-07-09 14:04:07 UTC,3,3,""
31790,2018-07-09 16:23:07 UTC,2,3,Good course!!
32318,2018-07-10 11:06:51 UTC,1,3,""
32835,2018-07-11 07:34:41 UTC,3,1,""
34207,2018-07-13 17:40:54 UTC,2,3,"You answered many my questions, thank you!"
34662,2018-07-14 22:12:40 UTC,3,3,It has been an eye opener. The world is heading towards technology whether we like it or not! so we need to protect ourselves
34751,2018-07-15 05:47:33 UTC,3,3,""
35629,2018-07-16 16:16:27 UTC,3,2,""
35995,2018-07-17 08:48:05 UTC,3,3,""
36100,2018-07-17 12:09:29 UTC,3,3,""
36163,2018-07-17 13:49:00 UTC,3,2,""
36426,2018-07-17 23:18:47 UTC,3,3,""
36481,2018-07-18 04:06:16 UTC,1,3,"Learning is accessible at our pace, very informative and broadening the knowledge horizon"
38649,2018-07-22 15:52:26 UTC,1,3,""
38658,2018-07-22 16:02:09 UTC,2,3,""
39431,2018-07-23 19:58:57 UTC,1,3,""
40637,2018-07-25 23:02:28 UTC,3,3,its great
40652,2018-07-26 00:19:37 UTC,1,3,""
41359,2018-07-27 12:22:29 UTC,2,3,Lifelong learning!
41613,2018-07-27 21:18:55 UTC,1,3,Good
41741,2018-07-28 07:45:10 UTC,3,3,Very informative.
42709,2018-07-30 05:56:35 UTC,2,3,""
42715,2018-07-30 06:25:54 UTC,3,3,""
43269,2018-07-30 22:31:40 UTC,2,3,""
43484,2018-07-31 11:19:31 UTC,1,3,"Thank you ... I wish there were explanations in different languages, such as Arabic"
43739,2018-07-31 19:58:05 UTC,1,3,""
45183,2018-08-03 19:10:00 UTC,2,3,l learned many new information 
45579,2018-08-04 17:08:30 UTC,1,3,""
45600,2018-08-04 17:49:54 UTC,2,3,It’s very good.
45680,2018-08-04 20:57:24 UTC,2,3,""
46416,2018-08-06 11:55:40 UTC,1,3,""
46421,2018-08-06 12:07:39 UTC,3,1,""
47082,2018-08-07 14:05:31 UTC,3,3,""
47192,2018-08-07 16:48:40 UTC,3,2,""
48621,2018-08-10 19:20:20 UTC,3,2,""
49085,2018-08-12 05:30:43 UTC,1,3,""
49847,2018-08-13 15:37:19 UTC,3,3,""
50272,2018-08-14 12:43:11 UTC,3,3,""
51346,2018-08-16 19:13:39 UTC,2,3,""
51401,2018-08-16 21:38:41 UTC,1,3,"I've learned a lot of things about the cyber Security in just one week!! 
I find out that it's an interesting subject to learn about."
52203,2018-08-19 05:00:47 UTC,3,2,""
52856,2018-08-20 14:51:03 UTC,3,2,"The course is about blue sky thinking, very much work in progress - and plenty of plugging for Newcastle Uni."
54007,2018-08-23 08:39:18 UTC,3,3,I have learned a lot. Can I go for lunch with Dr. Emms?
54092,2018-08-23 12:22:26 UTC,1,3,"Although I recently started to learn about Cybersecurity, I found the course material interesting."
54444,2018-08-24 11:27:48 UTC,3,3,""
